job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,is_senior,is_remote_friendly,is_llm_role,salary_tier,posting_date,skill
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Pytorch
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Cnns
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Cuda
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Git
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Agile
Aijob0140,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),4,Phd,219000,145000,280000,Chicago,Usa,Hybrid,Mid-Size (501-5000),Education,5.5,87,17.5,8.2,0,1,0,Senior ($200-300K),01-May-25,Problem Solving
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Pytorch
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Cnns
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Image Processing
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Opencv
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Python
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Cuda
Aijob0179,Computer Vision Engineer,Ai Engineering,Senior (6-9 Yrs),9,Master'S,253000,145000,280000,Seattle,Usa,On-Site,Mid-Size (501-5000),Healthcare,9.4,87,17.1,8.2,1,0,0,Senior ($200-300K),01-Mar-26,Sql
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Cuda
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Image Processing
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Pytorch
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Opencv
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Python
Aijob0227,Computer Vision Engineer,Ai Engineering,Mid (3-5 Yrs),7,Associate'S,208000,145000,280000,Seattle,Usa,Hybrid,Enterprise (5000+),Healthcare,7.5,87,20.4,7,0,1,0,Senior ($200-300K),01-Jan-26,Linux
